AE-588-10-2
Integration time [ms]:   9,690
Averaging Nr. [scans]: 100
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 7420287SP
Wave   ;Sample   ;Dark     ;Reference;Absorbance
[nm]   ;[counts] ;[counts] ;[counts] ;[A.U]

 179,38;  -28,524;   -4,780;    9,642; 5,00000
 179,98;  -29,446;   -7,630;    7,654; 5,00000
 180,58;  -21,810;   -6,150;   18,042; 5,00000
 181,18;  -26,422;   -5,490;   10,441; 5,00000
 181,78;  -35,210;   -7,850;    3,876; 5,00000
 182,38;  -38,211;   -5,070;   -1,737; 5,00000
 182,97;  -37,047;   -6,160;   -0,272; 5,00000
 183,57;  -38,031;   -7,380;   -0,847; 5,00000
 184,17;  -46,757;   -5,470;  -12,280; 0,00000
 184,77;  -52,599;   -8,190;  -16,447; 0,00000
 185,37;  -56,482;   -6,180;  -21,363; 0,00000
 185,97;  -62,218;   -6,830;  -26,555; 0,00000
 186,57;  -60,443;   -8,410;  -25,076; 0,00000
 187,17;  -69,891;   -5,330;  -35,589; 0,00000
 187,77;  -91,874;   -8,020;  -61,112; 0,00000
 188,37;  -83,300;   -6,470;  -53,102; 0,00000
 188,97; -100,521;   -6,070;  -74,428; 0,00000
 189,57; -102,426;   -8,600;  -73,007; 0,00000
 190,17; -118,574;   -5,820;  -91,197; 0,00000
 190,77; -125,350;   -8,290;  -97,634; 0,00000
 191,37; -138,849;   -7,490; -115,148; 0,00000
 191,96; -151,536;   -5,980; -127,654; 0,00000
 192,56; -185,829;   -8,330; -166,777; 0,00000
 193,16; -174,627;   -5,700; -154,698; 0,00000
 193,76; -152,646;   -6,890; -130,812; 0,00000
 194,36; -201,128;   -7,860; -183,876; 0,00000
 194,96; -204,210;   -5,210; -188,808; 0,00000
 195,56; -160,466;   -7,780; -140,044; 0,00000
 196,16; -121,271;   -5,880;  -96,836; 0,00000
 196,76;  -74,549;   -6,350;  -42,974; 0,00000
 197,36;  -64,827;   -7,930;  -32,036; 0,00000
 197,95;  -43,917;   -5,170;   -7,472; 0,00000
 198,55;  -54,153;   -6,430;  -19,902; 0,00000
 199,15;  -44,257;   -6,420;  -10,154; 0,00000
 199,75;  -33,772;   -5,640;    3,047; 5,00000
 200,35;  -47,040;   -7,820;  -11,074; 0,00000
 200,95;  -38,964;   -5,370;   -0,246; 5,00000
 201,55;  -39,904;   -6,550;   -2,298; 5,00000
 202,15;  -39,019;   -6,930;   -3,825; 5,00000
 202,74;  -29,831;   -4,480;   10,613; 5,00000
 203,34;  -38,230;   -7,210;   -1,894; 5,00000
 203,94;  -22,685;   -5,210;   16,701; 5,00000
 204,54;  -36,243;   -5,630;    0,182; 5,00000
 205,14;  -26,252;   -7,090;   10,377; 5,00000
 205,74;  -32,526;   -4,860;    7,344; 5,00000
 206,34;  -31,814;   -7,580;    6,432; 5,00000
 206,93;  -28,685;   -5,540;   10,407; 5,00000
 207,53;  -31,364;   -5,140;    8,209; 5,00000
 208,13;  -33,206;   -7,490;    4,404; 5,00000
 208,73;  -24,435;   -4,220;   12,931; 5,00000
 209,33;  -40,800;   -6,340;   -3,028; 5,00000
 209,93;  -27,760;   -5,260;    9,884; 5,00000
 210,52;  -31,205;   -5,140;    7,457; 5,00000
 211,12;  -21,314;   -7,170;   20,679; 5,00000
 211,72;  -27,030;   -4,200;   12,612; 5,00000
 212,32;  -25,108;   -5,360;   14,127; 5,00000
 212,92;  -30,165;   -6,240;    9,015; 5,00000
 213,52;  -28,563;   -4,370;   10,932; 5,00000
 214,11;  -30,828;   -7,060;    7,944; 5,00000
 214,71;  -20,834;   -4,420;   17,972; 5,00000
 215,31;  -32,387;   -5,190;    8,396; 5,00000
 215,91;  -13,633;   -6,460;   25,688; 5,00000
 216,51;  -25,471;   -3,960;   13,418; 5,00000
 217,10;  -26,239;   -5,860;   15,425; 5,00000
 217,70;  -31,397;   -5,330;    8,768; 5,00000
 218,30;  -21,512;   -4,860;   20,297; 5,00000
 218,90;  -31,115;   -6,960;    7,965; 5,00000
 219,50;  -20,859;   -3,510;   20,921; 5,00000
 220,09;  -19,487;   -5,530;   21,188; 5,00000
 220,69;  -22,901;   -5,860;   20,203; 5,00000
 221,29;  -19,257;   -3,900;   23,570; 5,00000
 221,89;  -37,778;   -6,260;    2,557; 5,00000
 222,49;  -21,029;   -4,320;   20,415; 5,00000
 223,08;  -21,844;   -4,430;   22,382; 5,00000
 223,68;  -16,997;   -6,230;   24,830; 5,00000
 224,28;  -28,130;   -3,350;   14,586; 5,00000
 224,88;  -27,615;   -5,660;   15,803; 5,00000
 225,47;  -27,887;   -4,850;   12,220; 5,00000
 226,07;  -20,474;   -4,550;   23,754; 5,00000
 226,67;  -27,462;   -6,160;   19,475; 5,00000
 227,27;  -19,451;   -3,840;   24,615; 5,00000
 227,87;  -27,430;   -4,560;   17,044; 5,00000
 228,46;  -21,771;   -5,380;   23,688; 5,00000
 229,06;  -29,187;   -4,080;   15,108; 5,00000
 229,66;  -20,664;   -6,230;   24,844; 5,00000
