#--- Experiment --------------------------------------------------------------------------																									
#AE-579-300-irrad																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com																									
#WSG-LAPTOP-3																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 [] FSO2-C2 SN:24110001 UiD:2411E508596FD904 Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [ Ch.2] - Oxygen Sensor - UC7-506-067 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	09/12/2024	23/01/2025	7.210	48.776	0.827000	0.075000	470	-0.350000	0.874000	0.584000	0.000000	-0.000106	0.000000	0.000000	fixed f	998.699	20.952	100.000	24.877	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [ T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [ P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [ T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [ Ch.2 Main]	Time [ Ch.2 Main]	 dt (s) [ Ch.2 Main]	Oxygen (µmol/L) [ Ch.2 Main]	dphi (°) [ Ch.2 Main]	Signal Intensity (mV) [ Ch.2 Main]	Ambient Light (mV) [ Ch.2 Main]	Status [ Ch.2 Main]	Date [ Ch.2 CompT]	Time [ Ch.2 CompT]	 dt (s) [ Ch.2 CompT]	Sample Temp. (°C) [ Ch.2 CompT]	Status [ Ch.2 CompT]	Date [ Ch.2 CompP]	Time [ Ch.2 CompP]	 dt (s) [ Ch.2 CompP]	Pressure (mbar) [ Ch.2 CompP]	Status [ Ch.2 CompP]	Date [ T1]	Time [ T1]	 dt (s) [ T1]	Sample Temp. (°C) [ T1]	Status [ T1]	Date [Comment]	Time [Comment]	Comment
08-10-2025	09:49:32.486	0.463	-0.250015	49.257000	334	0	OK	08-10-2025	09:49:32.486	0.463	24.900	OK	08-10-2025	09:49:32.486	0.463	1001	OK	08-10-2025	09:49:32.059	0.036	24.899	OK			
08-10-2025	09:49:33.486	1.463	-0.245028	49.247002	334	0	OK	08-10-2025	09:49:33.486	1.463	24.903	OK	08-10-2025	09:49:33.486	1.463	1000	OK	08-10-2025	09:49:33.060	1.037	24.901	OK			
08-10-2025	09:49:34.486	2.462	-0.243434	49.243000	334	0	OK	08-10-2025	09:49:34.486	2.462	24.913	OK	08-10-2025	09:49:34.486	2.462	1000	OK	08-10-2025	09:49:34.059	2.036	24.909	OK			
08-10-2025	09:49:35.488	3.465	-0.247635	49.251999	334	0	OK	08-10-2025	09:49:35.488	3.465	24.904	OK	08-10-2025	09:49:35.488	3.465	1001	OK	08-10-2025	09:49:35.059	3.036	24.909	OK			
08-10-2025	09:49:36.488	4.465	-0.245064	49.245998	334	0	OK	08-10-2025	09:49:36.488	4.465	24.915	OK	08-10-2025	09:49:36.488	4.465	1001	OK	08-10-2025	09:49:36.059	4.036	24.914	OK			
08-10-2025	09:49:37.486	5.463	-0.246691	49.249001	334	0	OK	08-10-2025	09:49:37.486	5.463	24.917	OK	08-10-2025	09:49:37.486	5.463	1001	OK	08-10-2025	09:49:37.059	5.036	24.917	OK			
08-10-2025	09:49:38.489	6.466	-0.238634	49.233002	334	0	OK	08-10-2025	09:49:38.489	6.466	24.920	OK	08-10-2025	09:49:38.489	6.466	1001	OK	08-10-2025	09:49:38.059	6.036	24.920	OK			
08-10-2025	09:49:39.489	7.466	-0.235801	49.228001	334	0	OK	08-10-2025	09:49:39.489	7.466	24.914	OK	08-10-2025	09:49:39.489	7.466	1001	OK	08-10-2025	09:49:39.060	7.037	24.916	OK			
08-10-2025	09:49:40.490	8.466	-0.239247	49.235001	334	0	OK	08-10-2025	09:49:40.490	8.466	24.911	OK	08-10-2025	09:49:40.490	8.466	1001	OK	08-10-2025	09:49:40.060	8.036	24.915	OK			
08-10-2025	09:49:41.490	9.467	-0.236221	49.229000	334	0	OK	08-10-2025	09:49:41.490	9.467	24.912	OK	08-10-2025	09:49:41.490	9.467	1001	OK	08-10-2025	09:49:41.061	9.038	24.914	OK			
08-10-2025	09:49:42.492	10.469	-0.232349	49.221001	334	0	OK	08-10-2025	09:49:42.492	10.469	24.917	OK	08-10-2025	09:49:42.492	10.469	1001	OK	08-10-2025	09:49:42.060	10.037	24.917	OK			
08-10-2025	09:49:43.492	11.469	-0.233000	49.222000	334	0	OK	08-10-2025	09:49:43.492	11.469	24.920	OK	08-10-2025	09:49:43.492	11.469	1001	OK	08-10-2025	09:49:43.062	11.039	24.921	OK			
