#--- Experiment --------------------------------------------------------------------------																									
#AE-588-300-degas																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.5.4.2482   www.pyroscience.com																									
#WSG-LAPTOP-3																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 [] FSO2-C2 SN:24110001 UiD:2411E508596FD904 Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [ Ch.2] - Oxygen Sensor - UC7-506-067 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	09/12/2024	23/01/2025	7.210	48.776	0.827000	0.075000	470	-0.350000	0.874000	0.584000	0.000000	-0.000106	0.000000	0.000000	fixed f	998.699	20.952	100.000	24.877	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [ T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [ P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [ T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [ Ch.2 Main]	Time [ Ch.2 Main]	 dt (s) [ Ch.2 Main]	Oxygen (µmol/L) [ Ch.2 Main]	dphi (°) [ Ch.2 Main]	Signal Intensity (mV) [ Ch.2 Main]	Ambient Light (mV) [ Ch.2 Main]	Status [ Ch.2 Main]	Date [ Ch.2 CompT]	Time [ Ch.2 CompT]	 dt (s) [ Ch.2 CompT]	Sample Temp. (°C) [ Ch.2 CompT]	Status [ Ch.2 CompT]	Date [ Ch.2 CompP]	Time [ Ch.2 CompP]	 dt (s) [ Ch.2 CompP]	Pressure (mbar) [ Ch.2 CompP]	Status [ Ch.2 CompP]	Date [ T1]	Time [ T1]	 dt (s) [ T1]	Sample Temp. (°C) [ T1]	Status [ T1]	Date [Comment]	Time [Comment]	Comment
13-10-2025	09:23:38.238	-0.069	0.515308	47.801998	326	0	OK	13-10-2025	09:23:38.238	-0.069	24.949	OK	13-10-2025	09:23:38.238	-0.069	1005	OK	13-10-2025	09:23:38.452	0.144	24.955	OK			
13-10-2025	09:23:39.238	0.930	0.511227	47.808998	326	0	OK	13-10-2025	09:23:39.238	0.930	24.953	OK	13-10-2025	09:23:39.238	0.930	1005	OK	13-10-2025	09:23:39.448	1.140	24.953	OK			
13-10-2025	09:23:40.239	1.931	0.504492	47.820999	326	0	OK	13-10-2025	09:23:40.239	1.931	24.956	OK	13-10-2025	09:23:40.239	1.931	1005	OK	13-10-2025	09:23:40.449	2.141	24.954	OK			
13-10-2025	09:23:41.239	2.932	0.499188	47.831001	326	0	OK	13-10-2025	09:23:41.239	2.932	24.954	OK	13-10-2025	09:23:41.239	2.932	1005	OK	13-10-2025	09:23:41.450	3.142	24.961	OK			
13-10-2025	09:23:42.239	3.932	0.499394	47.830002	326	0	OK	13-10-2025	09:23:42.239	3.932	24.959	OK	13-10-2025	09:23:42.239	3.932	1005	OK	13-10-2025	09:23:42.450	4.143	24.959	OK			
13-10-2025	09:23:43.239	4.931	0.498309	47.832001	326	0	OK	13-10-2025	09:23:43.239	4.931	24.959	OK	13-10-2025	09:23:43.239	4.931	1005	OK	13-10-2025	09:23:43.450	5.142	24.961	OK			
13-10-2025	09:23:44.239	5.932	0.496070	47.835999	326	0	OK	13-10-2025	09:23:44.239	5.932	24.960	OK	13-10-2025	09:23:44.239	5.932	1005	OK	13-10-2025	09:23:44.452	6.145	24.960	OK			
13-10-2025	09:23:45.241	6.933	0.496612	47.834999	326	0	OK	13-10-2025	09:23:45.241	6.933	24.960	OK	13-10-2025	09:23:45.241	6.933	1005	OK	13-10-2025	09:23:45.453	7.146	24.958	OK			
13-10-2025	09:23:46.241	7.934	0.494030	47.839001	326	0	OK	13-10-2025	09:23:46.241	7.934	24.966	OK	13-10-2025	09:23:46.241	7.934	1005	OK	13-10-2025	09:23:46.453	8.146	24.964	OK			
13-10-2025	09:23:47.241	8.934	0.493897	47.839001	326	0	OK	13-10-2025	09:23:47.241	8.934	24.968	OK	13-10-2025	09:23:47.241	8.934	1005	OK	13-10-2025	09:23:47.450	9.143	24.964	OK			
13-10-2025	09:23:48.242	9.935	0.491250	47.844002	326	0	OK	13-10-2025	09:23:48.242	9.935	24.967	OK	13-10-2025	09:23:48.242	9.935	1005	OK	13-10-2025	09:23:48.453	10.145	24.963	OK			
13-10-2025	09:23:49.241	10.934	0.489005	47.848999	326	0	OK	13-10-2025	09:23:49.241	10.934	24.960	OK	13-10-2025	09:23:49.241	10.934	1005	OK	13-10-2025	09:23:49.452	11.144	24.955	OK			
13-10-2025	09:23:50.243	11.935	0.484251	47.858002	326	1	OK	13-10-2025	09:23:50.243	11.935	24.958	OK	13-10-2025	09:23:50.243	11.935	1005	OK	13-10-2025	09:23:50.453	12.145	24.957	OK			
13-10-2025	09:23:51.243	12.936	0.477882	47.868999	326	0	OK	13-10-2025	09:23:51.243	12.936	24.964	OK	13-10-2025	09:23:51.243	12.936	1005	OK	13-10-2025	09:23:51.455	13.147	24.965	OK			
