#--- Experiment --------------------------------------------------------------------------																																				
#AE-250-1-Ch1																																				
#																																				
#--- System ------------------------------------------------------------------------------																																				
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com																																				
#LAPTOP-78SJC00Q																																				
#--- Instrument --------------------------------------------------------------------------																																				
#Device: FireSting-O2 [] FSO2-C2 SN:2466C2055D64AD2A Firmware:4.11 Build:001																																				
#--- Channel -----------------------------------------------------------------------------																																				
#Channel [ Ch.1] - Oxygen Sensor - TD7-499-065 																																				
#--- Settings & Calibration --------------------------------------------------------------																																				
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																
#	128 ms	30% (D)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	Optical Temperature	20.000000	2	Internal Pressure Sensor	1013.000000	0.000000																
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																
#	13.03.2024	13.03.2024	7.324466	45.897533	0.827000	0.075000	470	-0.350000	0.874000	0.900368	0.000000	-0.000106	0.000000	0.000000	fixed f	996.354004	21.499998	100.000000	19.846931	20.950000																
#--- Temperature Compensation Channel ----------------------------------------------------																																				
#Compensation Channel [ Ch.2] - Optical Temperature Sensor - DF7-321-538 																																				
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																
#	128 ms	60% (F)	10M (400x)	970	FALSE	FALSE	TRUE	TRUE	0	47	0	temperature	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.000000																
#Calibration:	lastCal1	M	N	C	Tofs (K)	Background Amplitude (mV)	Background dphi (°)																													
#	13.03.2024	321.000000	538.000000	0.097000	-4.040332	0.000000	0.000000																													
#--- Pressure Compensation Channel -------------------------------------------------------																																				
#Compensation Channel [ P1] - Internal Pressure Sensor																																				
#Settings: n/a																																				
#Calibration: n/a																																				
#--- Channel -----------------------------------------------------------------------------																																				
#Channel [ Ch.2] - Optical Temperature Sensor - DF7-321-538 																																				
#--- Settings & Calibration --------------------------------------------------------------																																				
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																
#	128 ms	60% (F)	10M (400x)	970	FALSE	FALSE	TRUE	TRUE	0	47	0	temperature	1 mm	2000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.000000																
#Calibration:	lastCal1	M	N	C	Tofs (K)	Background Amplitude (mV)	Background dphi (°)																													
#	13.03.2024	321.000000	538.000000	0.097000	-4.040332	0.000000	0.000000																													
#--- Channel -----------------------------------------------------------------------------																																				
#Channel [ T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																																				
#--- Measurement Data --------------------------------------------------------------------																																				
Date [ Ch.1 Main]	Time [ Ch.1 Main]	 dt (s) [ Ch.1 Main]	Oxygen (µmol/L) [ Ch.1 Main]	dphi (°) [ Ch.1 Main]	Signal Intensity (mV) [ Ch.1 Main]	Ambient Light (mV) [ Ch.1 Main]	Status [ Ch.1 Main]	Date [ Ch.1 CompT]	Time [ Ch.1 CompT]	 dt (s) [ Ch.1 CompT]	Optical Temp. (°C) [ Ch.1 CompT]	dphi (°) [ Ch.1 CompT]	Signal Intensity (mV) [ Ch.1 CompT]	Ambient Light (mV) [ Ch.1 CompT]	Status [ Ch.1 CompT]	Date [ Ch.1 CompP]	Time [ Ch.1 CompP]	 dt (s) [ Ch.1 CompP]	Pressure (mbar) [ Ch.1 CompP]	Status [ Ch.1 CompP]	Date [ Ch.2 Main]	Time [ Ch.2 Main]	 dt (s) [ Ch.2 Main]	Optical Temp. (°C) [ Ch.2 Main]	dphi (°) [ Ch.2 Main]	Signal Intensity (mV) [ Ch.2 Main]	Ambient Light (mV) [ Ch.2 Main]	Status [ Ch.2 Main]	Date [ T1]	Time [ T1]	 dt (s) [ T1]	Sample Temp. (°C) [ T1]	Status [ T1]	Date [Comment]	Time [Comment]	Comment
03-04-2024	09:03:42.295	0.932	258.050812	7.092000	32	0	NotOK(12)	03-04-2024	09:03:42.097	0.734	24.635	40.644	191	0	NotOK(5,5,5)	03-04-2024	09:03:42.295	0.932	988	OK	03-04-2024	09:03:41.419	0.056	24.640	40.643	191	1	NotOK(5)	03-04-2024	09:03:41.402	0.039	NaN	NotOK(5)			
03-04-2024	09:03:44.294	2.931	260.099731	7.050000	32	0	NotOK(12)	03-04-2024	09:03:44.097	2.734	24.656	40.640	191	1	NotOK(5,5,5)	03-04-2024	09:03:44.294	2.931	988	OK	03-04-2024	09:03:43.402	2.039	24.630	40.645	191	1	NotOK(5)	03-04-2024	09:03:42.507	1.144	NaN	NotOK(5)			
03-04-2024	09:03:46.294	4.931	260.911774	7.037000	32	0	NotOK(12)	03-04-2024	09:03:46.098	4.735	24.640	40.643	191	1	NotOK(5,5,5)	03-04-2024	09:03:46.294	4.931	988	OK	03-04-2024	09:03:45.401	4.038	24.667	40.638	191	1	NotOK(5)	03-04-2024	09:03:43.599	2.236	NaN	NotOK(5)			
03-04-2024	09:03:48.298	6.935	263.812103	6.979000	32	0	NotOK(12)	03-04-2024	09:03:48.098	6.735	24.667	40.638	191	1	NotOK(5,5,5)	03-04-2024	09:03:48.298	6.935	989	OK	03-04-2024	09:03:47.402	6.039	24.646	40.642	191	1	NotOK(5)	03-04-2024	09:03:44.506	3.143	NaN	NotOK(5)			
03-04-2024	09:03:50.295	8.932	263.858643	6.979000	32	0	NotOK(12)	03-04-2024	09:03:50.098	8.735	24.661	40.639	191	1	NotOK(5,5,5)	03-04-2024	09:03:50.295	8.932	988	OK	03-04-2024	09:03:49.401	8.038	24.688	40.634	191	1	NotOK(5)	03-04-2024	09:03:45.596	4.233	NaN	NotOK(5)			
03-04-2024	09:03:52.294	10.931	263.631744	6.962000	31	0	NotOK(12)	03-04-2024	09:03:52.099	10.736	24.809	40.611	191	1	NotOK(5,5,5)	03-04-2024	09:03:52.294	10.931	988	OK	03-04-2024	09:03:51.401	10.039	24.745	40.623	191	1	NotOK(5)	03-04-2024	09:03:46.507	5.144	NaN	NotOK(5)			
03-04-2024	09:03:54.297	12.935	262.367554	6.978000	31	0	NotOK(12)	03-04-2024	09:03:54.101	12.738	24.861	40.601	191	1	NotOK(5,5,5)	03-04-2024	09:03:54.297	12.935	988	OK	03-04-2024	09:03:53.402	12.039	24.882	40.597	191	1	NotOK(5)	03-04-2024	09:03:47.598	6.236	NaN	NotOK(5)			
03-04-2024	09:03:56.297	14.934	262.044800	6.975000	31	0	NotOK(12)	03-04-2024	09:03:56.100	14.737	24.924	40.589	191	0	NotOK(5,5,5)	03-04-2024	09:03:56.297	14.934	988	OK	03-04-2024	09:03:55.402	14.039	24.903	40.593	191	1	NotOK(5)	03-04-2024	09:03:48.509	7.146	NaN	NotOK(5)			
03-04-2024	09:03:58.298	16.935	261.118103	6.987000	31	0	NotOK(12)	03-04-2024	09:03:58.102	16.739	24.961	40.582	191	1	NotOK(5,5,5)	03-04-2024	09:03:58.298	16.935	989	OK	03-04-2024	09:03:57.403	16.040	24.961	40.582	191	0	NotOK(5)	03-04-2024	09:03:49.598	8.235	NaN	NotOK(5)			
03-04-2024	09:04:00.297	18.934	262.537781	6.956000	31	0	NotOK(12)	03-04-2024	09:04:00.101	18.738	24.993	40.576	191	1	NotOK(5,5,5)	03-04-2024	09:04:00.297	18.934	988	OK	03-04-2024	09:03:59.405	18.042	25.030	40.569	191	1	NotOK(5)	03-04-2024	09:03:50.507	9.144	NaN	NotOK(5)			
03-04-2024	09:04:02.299	20.936	262.701019	6.947000	31	0	NotOK(12)	03-04-2024	09:04:02.102	20.739	25.035	40.568	191	1	NotOK(5,5,5)	03-04-2024	09:04:02.299	20.936	988	OK	03-04-2024	09:04:01.404	20.041	25.024	40.570	191	1	NotOK(5)	03-04-2024	09:03:51.597	10.234	NaN	NotOK(5)			
03-04-2024	09:04:04.301	22.938	264.018158	6.922000	31	0	NotOK(12)	03-04-2024	09:04:04.102	22.739	25.040	40.567	191	0	NotOK(5,5,5)	03-04-2024	09:04:04.301	22.938	988	OK	03-04-2024	09:04:03.404	22.041	25.061	40.563	191	0	NotOK(5)	03-04-2024	09:03:52.506	11.143	NaN	NotOK(5)			
03-04-2024	09:04:06.302	24.939	264.521698	6.903000	31	0	NotOK(12)	03-04-2024	09:04:06.103	24.740	25.109	40.554	191	0	NotOK(5,5,5)	03-04-2024	09:04:06.302	24.939	989	OK	03-04-2024	09:04:05.404	24.041	25.077	40.560	191	1	NotOK(5)	03-04-2024	09:03:53.598	12.235	NaN	NotOK(5)			
03-04-2024	09:04:08.300	26.937	262.866119	6.935000	31	0	NotOK(12)	03-04-2024	09:04:08.103	26.740	25.098	40.556	191	1	NotOK(5,5,5)	03-04-2024	09:04:08.300	26.937	988	OK	03-04-2024	09:04:07.405	26.042	25.109	40.554	191	0	NotOK(5)	03-04-2024	09:03:54.511	13.148	NaN	NotOK(5)			
